model, method, TP, TN, FP, FN, TNR, total_reviews, avg_inp_tokens, avg_opt_tokens, F1, iteration_index, empty_verifications, note
gpt-5-high, standard,77,185,24,14,0.89,300,2981.39,10968.94,0.8,,4
gpt-5-high, progressive@3/6, 71, 188, 21, 20, 0.900, 922, 3928.62, 8630.63,
gpt-5-medium, standard, 74, 183, 26, 17, 0.876, 300, 2985.85, 5896.17,
gpt-5-medium, progressive@3/6, 71, 192, 17, 20, 0.919, 938, 4002.14, 4181.79,
gemini-2.5-pro, standard, 79, 141, 68, 12, 0.675, 300, 3049.46, 11360.92,
gemini-2.5-pro,progressive@3/6,83,141,68,8,0.67,1114,3506.32,6815.72,0.69,1.0,0
gemini-2.5-pro,progressive@3/6,79,160,49,12,0.77,1114,3506.32,6815.72,0.72,2.0,0
deepseek-v3.2-exp-thinking,progressive@3/6,80,158,51,11,0.76,986,3190.06,5076.82,0.72,1.0,1
deepseek-v3.2-exp-thinking,progressive@3/6,77,180,29,14,0.86,986,3190.06,5076.82,0.78,2.0,0
deepseek-v3.2-exp-thinking,progressive@3/6,72,188,21,19,0.9,986,3190.06,5076.82,0.78,3.0,0
deepseek-v3.2-exp-thinking,standard,81,155,54,10,0.74,300,2861.06,5902.02,0.72,,0
gpt-oss-120b,progressive@3/6,86,44,165,5,0.21,1446,3509.31,4680.01,0.5,1.0,214
gpt-oss-120b,progressive@3/6,82,130,79,9,0.62,1446,3509.31,4680.01,0.65,2.0,83
gpt-oss-120b,progressive@3/6,79,146,63,12,0.7,1446,3509.31,4680.01,0.68,3.0,83
gpt-oss-120b,standard,29,193,16,62,0.92,300,3003.22,2326.4,0.43,,200
claude-sonnet-4-5-20250929-thinking,progressive@3/6,87,83,126,4,0.4,1402,4124.25,2394.05,0.57,1.0,0
claude-sonnet-4-5-20250929-thinking,progressive@3/6,82,122,87,9,0.58,1402,4124.25,2394.05,0.63,2.0,0
claude-sonnet-4-5-20250929-thinking,progressive@3/6,80,150,59,11,0.72,1402,4124.25,2394.05,0.7,3.0,1
claude-sonnet-4-5-20250929-thinking,standard,88,85,124,3,0.41,300,3463.22,2818.73,0.58,,0
gpt-5-mini-medium, standard, 82, 146, 63, 9, 0.700, 300, 2985.85, 2516.76,
gpt-5-mini-medium, progressive@3/6, 76, 160, 49, 15, 0.766, 1220, 3912.01, 1866.88,
gemini-2.5-flash, standard, 87, 110, 99, 4, 0.526, 300, 3042.78, 8643.86,
gemini-2.5-flash, progressive@3/6, 78, 155, 54, 13, 0.742, 1320, 4171.18, 4220.23,
qwen3-30b-a3b, standard, 84, 78, 131, 7, 0.373, 300, 3000.28, 1579.55,
qwen3-30b-a3b, maj@3, 88, 76, 133, 3, 0.364, 900, 3000.28, 1585.17,
qwen3-30b-a3b, pes@3, 85, 112, 97, 6, 0.536, 900, 3000.28, 1585.17,
qwen3-30b-a3b, progressive@3/6, 74, 143, 66, 17, 0.684, 1528, 4076.72, 1554.39,
Qwen3-4B,standard,85,64,145,6,0.31,300,3000.28,1697.93,0.53,,0
Qwen3-4B,progressive@3/6,84,65,144,7,0.31,1548,3549.97,1374.81,0.53,1.0,0
Qwen3-4B,progressive@3/6,80,91,118,11,0.44,1548,3549.97,1374.81,0.55,2.0,0
Qwen3-4B,progressive@3/6,71,125,84,20,0.6,1548,3549.97,1374.81,0.58,3.0,0
Qwen3-1.7B,standard,87,36,173,4,0.17,300,3000.28,1147.42,0.5,,0
Qwen3-1.7B,progressive@3/6,82,46,163,9,0.22,1506,3811.95,1051.24,0.49,1.0,0
Qwen3-1.7B,progressive@3/6,68,98,111,23,0.47,1506,3811.95,1051.24,0.5,2.0,0
Qwen3-1.7B,progressive@3/6,46,135,74,45,0.65,1506,3811.95,1051.24,0.44,3.0,0
