model, method, TP, TN, FP, FN, TNR, total_reviews, avg_inp_tokens, avg_opt_tokens, F1, iteration_index, empty_verifications, note
gpt-5-mini-medium, standard, 185, 22, 89, 4, 0.198, 300, 1561.68, 2026.63, 
gpt-5-mini-medium, pes@3, 183, 35, 76, 6, 0.315, 900, 1561.68, 2102.80,
gpt-5-mini-medium, vp@16, 186, 55, 56, 3, 0.495, 853, 2199.73, 1322.40,
gpt-5-mini-medium, progressive@3/6, 187, 65, 46, 2, 0.586, 1735, 1962.98, 1322.70,
gemini-2.5-pro, standard, 182, 63, 48, 7, 0.57, 300, 1583.02, 7597.70,
gemini-2.5-pro, pes@3, 169, 75, 36, 20, 0.676, 900, 1583.02, 7604.13,
gemini-2.5-pro, vp@16,
gemini-2.5-pro, progressive@3/6,
qwen3-30b-a3b, standard, 183, 16, 95, 6, 0.144, 300, 1557.74, 1245.79,
qwen3-30b-a3b, pes@3, 175, 26, 85, 14, 0.234, 900, 1557.74, 1274.27,
qwen3-30b-a3b, vp@16, 175, 41, 70, 14, 0.313, 853, 2195.75, 1244.57,
qwen3-30b-a3b, progressive@3/6, 166, 65, 46, 23, 0.586, 1751, 2002.37, 1218.41,
deepseek-v3.2-exp-thinking,progressive@3/6,182,56,55,7,0.5,1569,1871.02,3978.07,0.85,1.0,0
deepseek-v3.2-exp-thinking,progressive@3/6,176,73,38,13,0.66,1569,1871.02,3978.07,0.87,2.0,0
deepseek-v3.2-exp-thinking,progressive@3/6,173,83,28,16,0.75,1569,1871.02,3978.07,0.89,3.0,1
deepseek-v3.2-exp-thinking,standard,179,42,69,10,0.38,300,1511.3,4768.22,0.82,,1
gemini-2.5-pro, standard,
gemini-2.5-pro, progressive@3/6,
kimi-k2-instruct-0905,standard,171,18,93,18,0.16,300,1526.94,114.31,0.75,,0
kimi-k2-instruct-0905,progressive@3/6,169,23,88,20,0.21,1575,1984.1,107.74,0.76,1.0,0
kimi-k2-instruct-0905,progressive@3/6,136,48,63,53,0.43,1575,1984.1,107.74,0.7,2.0,0
kimi-k2-instruct-0905,progressive@3/6,106,73,38,83,0.66,1575,1984.1,107.74,0.64,3.0,0
o3, standard,
o3, progressive@3/6,
gpt-oss-120b, standard, 165, 56, 55, 24, ,300, 1519.65, 2965.60
gpt-oss-120b, progressive@3/6, 188,45,66,1,0.41,1663,1941.42,2801.67,0.85,1.0,17, have empty verifications
gpt-oss-120b,progressive@3/6,188,70,41,1,0.63,1663,1941.42,2801.67,0.9,2.0,7
gpt-oss-120b,progressive@3/6,185,80,31,4,0.72,1663,1941.42,2801.67,0.91,3.0,6
o4-mini, standard,
o4-mini, progressive@3/6,
qwen3-235b-a22b-think, standard,
qwen3-235b-a22b-think, progressive@3/6,
claude-sonnet-4-5-20250929-thinking,progressive@3/6,186,23,88,3,0.21,1800,2401.9,2147.6,0.8,1.0,0
claude-sonnet-4-5-20250929-thinking,progressive@3/6,184,42,69,5,0.38,1800,2401.9,2147.6,0.83,2.0,0
claude-sonnet-4-5-20250929-thinking,progressive@3/6,177,58,53,12,0.52,1800,2401.9,2147.6,0.84,3.0,0
claude-sonnet-4-5-20250929-thinking,standard,187,14,97,2,0.13,300,1881.17,2932.37,0.79,,0
qwen3-8b,standard,179,18,93,10,0.16,300,1557.74,1912.39,0.78,,0
qwen3-8b,progressive@3/6,178,26,85,11,0.23,1619,1979.31,1878.12,0.79,1.0,0
qwen3-8b,progressive@3/6,155,55,56,34,0.5,1619,1979.31,1878.12,0.78,2.0,0
qwen3-8b,progressive@3/6,139,72,39,50,0.65,1619,1979.31,1878.12,0.76,3.0,0
Qwen3-4B,progressive@3/6,177,17,94,12,0.15,1670,2018.04,1424.91,0.77,1.0,0
Qwen3-4B,progressive@3/6,154,45,66,35,0.41,1670,2018.04,1424.91,0.75,2.0,0
Qwen3-4B,progressive@3/6,130,64,47,59,0.58,1670,2018.04,1424.91,0.71,3.0,0
Qwen3-4B,standard,173,20,91,16,0.18,300,1557.74,1616.38,0.76,,0
Qwen3-1.7B,progressive@3/6,169,10,101,20,0.09,1629,2063.65,1063.82,0.74,1.0,0
Qwen3-1.7B,progressive@3/6,138,40,71,51,0.36,1629,2063.65,1063.82,0.69,2.0,0
Qwen3-1.7B,progressive@3/6,95,66,45,94,0.59,1629,2063.65,1063.82,0.58,3.0,0
Qwen3-1.7B,standard,162,14,97,27,0.13,300,1557.74,1198.84,0.72,,0
