model, method, TP, TN, FP, FN, TNR, total_reviews, avg_inp_tokens, avg_opt_tokens, note
gpt-5-mini-medium, standard, 40, 104, 54, 2, 0.66, 200, 2422.05, 2592.42,
gpt-5-mini-medium, pes@3, 39, 115, 43, 3, 0.73, 600, 2422.05, 2596.73, 
gpt-5-mini-medium, vp@16, 37, 117, 41, 5, 0.74, 721, 4237.08, 1595.26,
gpt-5-mini-medium, progressive@3/6, 39, 129, 29, 3, 0.82, 662, , ,
gpt-5-medium, standard, 40, 134, 24, 2, 0.85, 200, 2422.05, 4999.8,
gpt-5-medium, pes@3,
gpt-5-medium, vp@16,
gpt-5-medium, progressive@3/6, 37, 148, 10, 5, 0.94, 513, , ,
gpt-5-high, standard,
gpt-5-high, pes@3,
gpt-5-high, vp@16,
gpt-5-high, progressive@3/6, 34, 146, 12, 8, 0.92, 505, , ,
deepseek-v3.2-thinking, standard, 40, 117, 41, 2, 0.74, 200, 2333.55, 6391.59,
deepseek-v3.2-thinking, progressive@3/6, 34, 137, 21, 8, 0.87, 609, 2616.59, 4585.17,
gemini-2.5-pro, standard,
gemini-2.5-pro, progressive@3/6,
kimi-k2-thinking, standard,
kimi-k2-thinking, progressive@3/6,
kimi-k2, standard,
kimi-k2, progressive@3/6,
o3, standard,
o3, progressive@3/6,
gpt-oss-120b, standard,
gpt-oss-120b, progressive@3/6,
o4-mini, standard,
o4-mini, progressive@3/6,
qwen3-235b-a22b-think, standard,
qwen3-235b-a22b-think, progressive@3/6,
claude-sonnet-4.5-thinking, standard,
claude-sonnet-4.5-thinking, progressive@3/6,
grok-4, standard,
grok-4, progressive@3/6,
grok-4-fask-reasoning, standard
grok-4-fask-reasoning, progressive@3/6,
qwen3-30b-a3b-thinking, standard,
qwen3-30b-a3b-thinking, progressive@3/6,
